"","x"
"55","BRP Inc. (Bombardier Recreational Products) is a Canadian company making various vehicles. Once part of Bombardier Inc., it was founded in 1942 as L'Auto-Neige Bombardier Limitée (Bombardier Snowmobile Limited) by Joseph-Armand Bombardier at Valcourt in the Eastern Townships, Quebec.
In 2003, Bombardier Inc. sold its Recreational Products Division to a group of investors: Bain Capital (50%), the Bombardier family (35%), and the Caisse de dépôt et placement du Québec (15%).
The newly formed independent company, named Bombardier Recreational Products, included all the activities started 60 years earlier by its founder. As of October 6, 2009, it had about 5,500 employees; its revenues in 2007 were above US$2.5 billion. BRP has manufacturing facilities in five countries: Canada, the United States (Wisconsin, Illinois, North Carolina and Arkansas), Mexico, Finland, and Austria. The company's products are sold in more than 100 countries, some of which have their own direct-sales network.BRP has a long legacy of innovation and has multiple brands: Ski-Doo (snowmobiles), Can-Am motorcycles (ATVs and BRP Can-Am Spyder and Ryker three-wheeled vehicles), Sea-Doo (personal watercraft), Lynx (snowmobile), Evinrude Outboard Motors, and Rotax. The Ski-Doo personal snowmobile brand is so iconic, especially in Canada, that it was listed in 17th place on the CBC's The Greatest Canadian Invention list in 2007."
"56","Equinix, Inc. is an American multinational company headquartered in Redwood City, California, that specializes in internet connection and data centers. The company leads in global colocation data center market share, with 200 data centers in 24 countries on five continents.It is listed on the NASDAQ stock exchange under the ticker symbol EQIX, and as of 2018, it had approximately 7,200 employees globally. The company converted to a real estate investment trust (REIT) in January 2015."
"57","MFRI Inc. (Midwesco Filter Resources Inc.) (NASDAQ: MFRI) is a global company providing piping systems, filtration products and cooling equipment. It operates its business through three segments including Piping System segment, Filtration Product segment and Industrial Process Cooling segments. The company owns some intellectual properties including three registered trademarks: Thermal Care, AWS and Applied Web Systems."
"58","Nutrisystem, headquartered in Fort Washington, Pennsylvania, is a commercial provider of weight loss products and services. Initially, the company offered weight loss counseling and products in brick and mortar centers. In 1999, the company moved to a direct-to-consumer business model, selling its products and programs on the Internet and through a call center via 1-800 numbers.As of 2014 evidence was lacking that Nutrisystem products help with long-term weight loss; there was tentative evidence that at three months it resulted in 3.8% more weight loss than a control group. Reviews of the Nutrisystem program criticize the company’s approach as being not conducive to long-term weight control and expensive.In 2010, the company's mobile platform was launched amidst allegations that Nutrisystem had stolen the technology from WebDiet, Inc., a Silicon Valley startup. In 2012 Dawn Zier joined Nutrisystem as CEO. In 2015 they acquired the South Beach Diet brand.


== References =="
"59","Harmonic Inc. is an American technology company that develops and markets video routing, server, and storage products for companies that produce, process, and distribute video content for television and the Internet."
"60","Fastenal Company is an American company based in Winona, Minnesota. Distributing goods used by other businesses, it has over 2,200 branches throughout the US, Canada, Mexico and Europe along with 13 distribution centers.  Fastenal resells industrial, safety, and construction supplies and offers services including inventory management, manufacturing, and tool repair. Fastenal refers to itself as an industrial supply company, and Reuters calls it an industrial distributor."
"61","Optical Cable Corporation, headquartered in Roanoke, Virginia, manufactures fiber optical cable.  The company's cable is largely used for telecommunications and is sold both in the US and seventy other countries worldwide.  OCC also manufactures military land tactical fiber optic cable for the U.S. military."
"62","Crocs, Inc.  is an American company, based in Niwot, Colorado,  that distributes and once manufactured a foam clog shoe."
"63","Weyco Group (formerly Weyenberg Shoe Manufacturing Company or W. R. P. Shoe Company) is a footwear company that designs, markets and distributes brand names including Florsheim, Nunn Bush, Stacy Adams, BOGS, Rafters and Umi. The company, which focuses on North American wholesale and retail distribution, has been assembled by a series of acquisitions."
"64","First Guaranty Bank (FGB) is a bank based in Hammond, Louisiana. It is the primary subsidiary of First Guaranty Bancshares, Inc., a bank holding company. The bank operates 21 branches."
"65","Enphase Energy is a NASDAQ-listed energy technology company headquartered in Fremont, California. Enphase designs and manufactures software-driven home energy solutions that span solar generation, home energy storage and web-based monitoring and control. Enphase has shipped about ten million solar microinverters, primarily into the residential and commercial markets in North America, Europe and Australia. Microinverters convert the direct current power from the solar panel (DC) directly into grid-compatible alternating current (AC) for use or export. Enphase was the first company to successfully commercialise the microinverter on a wide scale, and remains the market leader."
